Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
11,Arizona NCAA,low,medium,low,medium,high,medium,medium,medium,high,low,low,low,high,medium,high,high,high,low,high,high,medium,low,medium,high,high,high,high,low,low,low,low,low,medium,low,medium,low,low,low,low,64
18,Austin Peay NCAA,high,low,high,low,low,low,low,high,low,high,medium,high,high,high,high,low,high,low,medium,medium,low,medium,low,medium,high,medium,high,high,medium,high,high,medium,high,high,low,high,medium,medium,medium,64
20,Baylor NCAA,low,low,medium,low,medium,high,low,high,medium,high,medium,low,medium,medium,low,high,medium,low,medium,high,high,high,medium,medium,high,high,medium,high,high,medium,high,low,high,high,high,high,high,medium,high,32
33,Buffalo NCAA,medium,low,high,low,low,low,low,high,low,high,low,high,medium,high,high,low,high,high,low,medium,low,medium,low,low,high,medium,high,high,high,medium,high,medium,medium,low,medium,high,medium,medium,high,64
34,Butler NCAA,low,low,medium,medium,high,medium,low,high,low,medium,low,low,medium,medium,high,high,medium,low,high,medium,medium,medium,low,medium,low,medium,high,high,medium,high,high,medium,medium,low,high,high,medium,low,medium,64
36,Cal State Bakersfield NCAA,low,medium,low,medium,low,low,low,low,medium,low,medium,high,low,low,medium,low,medium,low,low,medium,high,high,high,low,medium,high,low,low,high,medium,low,medium,medium,medium,low,low,high,medium,high,64
39,California NCAA,low,medium,medium,medium,medium,medium,medium,medium,high,low,low,high,low,low,medium,medium,high,medium,medium,high,low,low,medium,medium,medium,medium,high,medium,high,low,low,low,low,low,low,low,low,low,high,64
47,Chattanooga NCAA,medium,high,low,high,low,low,high,low,low,low,high,low,medium,medium,medium,medium,high,high,high,medium,medium,high,high,medium,high,medium,high,medium,low,medium,high,medium,medium,high,high,high,high,medium,low,64
49,Cincinnati NCAA,low,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,low,low,medium,low,high,low,high,high,high,high,low,low,high,low,low,low,medium,low,low,medium,low,medium,low,high,high,low,64
55,Colorado NCAA,low,low,medium,low,medium,medium,low,high,high,low,low,high,medium,medium,high,low,high,low,low,high,medium,low,high,low,high,high,high,medium,medium,low,medium,low,low,high,high,medium,low,low,medium,64
58,Connecticut NCAA,high,medium,medium,medium,medium,medium,low,high,medium,medium,medium,low,medium,low,low,medium,low,medium,medium,low,medium,medium,high,medium,low,low,low,low,medium,high,low,medium,high,low,high,low,low,medium,medium,32
64,Dayton NCAA,low,medium,low,high,medium,medium,high,low,medium,medium,high,low,low,low,medium,low,high,medium,medium,high,high,low,high,medium,high,low,medium,low,medium,high,low,low,high,low,medium,low,medium,low,medium,64
72,Duke NCAA,high,medium,medium,medium,high,high,low,high,medium,medium,low,low,high,high,medium,high,high,high,high,low,low,medium,medium,high,low,medium,high,high,low,low,medium,high,high,low,high,high,low,high,low,16
83,FDU NCAA,low,low,high,low,low,low,low,high,low,high,high,high,medium,high,high,low,low,low,medium,low,low,high,low,medium,medium,low,low,high,high,high,high,high,high,high,medium,high,high,high,high,68
87,Florida Gulf Coast NCAA,medium,low,high,low,low,low,low,medium,high,high,low,high,medium,high,medium,medium,medium,low,medium,high,low,medium,medium,medium,medium,medium,low,medium,medium,medium,low,low,low,high,low,low,low,medium,medium,64
91,Fresno State NCAA,medium,medium,medium,medium,low,low,medium,medium,high,medium,medium,high,medium,high,high,low,medium,low,low,low,low,high,high,low,low,medium,medium,medium,high,high,high,high,high,low,low,high,high,medium,high,64
101,Gonzaga NCAA,high,high,low,high,high,low,high,low,low,high,high,low,high,medium,medium,high,low,medium,high,high,low,low,low,high,medium,medium,medium,low,low,low,low,low,low,high,medium,low,low,low,low,16
104,Green Bay NCAA,high,medium,high,low,low,low,low,high,low,medium,high,high,high,high,high,low,high,low,low,low,low,high,medium,low,low,medium,high,high,medium,medium,high,high,medium,low,high,high,high,high,high,64
105,Hampton NCAA,low,low,medium,low,low,low,medium,low,low,medium,high,high,low,medium,high,low,high,medium,low,medium,low,low,low,low,high,high,high,high,high,low,high,low,low,medium,high,medium,low,low,high,64
108,Hawaii NCAA,low,high,low,high,low,low,medium,low,high,medium,medium,low,medium,low,high,medium,high,high,medium,medium,high,high,medium,medium,high,medium,high,low,high,medium,low,medium,medium,medium,low,low,high,low,high,32
111,Holy Cross NCAA,medium,low,high,low,low,low,low,high,low,high,low,high,low,high,low,low,medium,high,low,low,high,medium,low,low,medium,low,low,high,medium,high,high,high,high,medium,high,high,high,medium,medium,64
121,Indiana NCAA,medium,high,low,high,high,medium,high,low,high,low,medium,low,high,high,medium,high,low,high,high,high,medium,medium,medium,high,high,high,low,high,medium,low,high,low,low,high,medium,high,medium,medium,low,16
123,Iona NCAA,low,low,medium,medium,low,low,high,low,low,medium,high,medium,medium,high,high,medium,low,high,high,low,high,high,medium,high,high,low,low,high,high,medium,high,high,high,medium,medium,high,medium,high,medium,64
124,Iowa NCAA,low,low,medium,medium,high,high,medium,medium,low,medium,medium,low,medium,low,medium,medium,low,medium,medium,low,high,medium,high,medium,low,medium,low,medium,low,high,medium,high,high,low,low,medium,medium,high,low,32
125,Iowa State NCAA,medium,medium,medium,medium,high,high,low,high,medium,medium,low,high,high,high,high,high,low,medium,high,low,medium,low,medium,high,medium,low,low,high,low,medium,high,high,medium,low,low,high,low,high,low,16
131,Kansas NCAA,high,high,low,high,high,high,high,low,high,low,medium,low,high,high,medium,high,medium,medium,high,high,medium,medium,medium,high,high,medium,medium,low,high,low,low,low,low,high,medium,low,medium,medium,high,8
136,Kentucky NCAA,high,high,low,medium,high,high,medium,medium,high,low,low,high,high,high,medium,high,medium,low,high,high,low,low,high,high,low,high,medium,medium,high,low,low,low,low,low,low,low,low,high,high,32
143,Little Rock NCAA,medium,high,low,high,low,low,high,low,medium,low,high,low,low,low,low,medium,low,medium,medium,low,low,high,low,medium,low,low,low,low,high,high,low,high,high,low,low,low,high,medium,medium,32
160,Maryland NCAA,high,high,low,medium,high,medium,medium,medium,high,low,low,medium,medium,medium,low,high,medium,high,high,medium,medium,low,high,high,high,low,high,medium,low,medium,low,medium,low,high,medium,low,low,medium,low,16
168,Miami (FL) NCAA,medium,high,low,high,high,high,medium,medium,medium,low,medium,low,medium,medium,low,high,high,medium,high,medium,low,medium,low,high,medium,low,high,high,low,low,medium,medium,low,medium,low,medium,low,medium,low,16
170,Michigan NCAA,high,medium,high,low,medium,medium,low,high,low,high,low,medium,medium,medium,low,high,low,high,high,low,high,low,low,high,low,low,low,high,low,high,high,high,high,low,high,high,medium,low,low,64
171,Michigan State NCAA,medium,high,low,high,high,medium,medium,medium,medium,medium,medium,low,high,low,low,high,low,medium,high,high,high,low,high,high,medium,high,low,low,medium,low,low,low,medium,medium,medium,low,low,low,medium,64
172,Middle Tennessee NCAA,medium,medium,medium,medium,low,low,medium,medium,low,medium,high,low,low,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium,medium,low,low,medium,high,medium,high,medium,medium,high,low,high,high,low,high,32
200,North Carolina NCAA,high,high,low,high,high,high,high,low,medium,low,medium,low,high,high,high,high,low,low,medium,high,high,medium,high,medium,low,high,low,medium,medium,medium,medium,low,low,medium,low,medium,medium,medium,medium,2
211,Northern Iowa NCAA,high,medium,high,low,low,medium,low,high,low,medium,medium,high,low,medium,low,low,low,high,high,low,low,medium,low,high,medium,low,medium,medium,low,high,medium,high,medium,low,medium,high,medium,low,low,32
215,Notre Dame NCAA,high,medium,medium,medium,medium,high,low,high,medium,medium,low,low,medium,high,low,high,low,medium,high,low,low,low,medium,high,low,medium,low,high,low,medium,high,medium,high,medium,medium,high,low,high,low,8
219,Oklahoma NCAA,high,high,low,high,high,high,medium,medium,medium,low,medium,low,high,high,high,medium,low,high,high,medium,medium,medium,high,high,high,medium,low,medium,low,medium,low,medium,low,high,medium,medium,low,high,low,4
224,Oregon NCAA,high,high,low,high,high,high,high,low,high,low,low,low,high,high,medium,high,high,medium,medium,medium,low,high,high,medium,low,high,high,medium,medium,medium,medium,medium,high,low,low,medium,high,high,medium,8
225,Oregon State NCAA,low,low,high,low,medium,high,low,high,low,medium,low,high,low,low,medium,low,medium,low,low,low,medium,high,low,low,medium,low,medium,high,high,high,high,high,high,low,high,high,medium,high,high,64
230,Pittsburgh NCAA,low,low,medium,low,medium,high,low,high,medium,high,low,medium,low,low,low,high,medium,low,medium,high,high,low,medium,low,medium,high,medium,high,medium,medium,medium,low,high,medium,medium,high,low,low,medium,64
236,Providence NCAA,medium,medium,medium,medium,medium,high,low,high,low,high,medium,low,medium,high,high,low,medium,high,low,low,high,medium,low,low,low,low,medium,medium,low,low,high,high,medium,medium,medium,high,high,high,low,32
237,Purdue NCAA,medium,medium,low,medium,high,medium,medium,medium,high,low,low,low,high,low,low,high,low,medium,high,high,high,low,high,high,medium,high,medium,low,low,low,low,low,medium,high,low,low,low,low,low,64
250,Saint Joseph's NCAA,high,high,low,high,medium,medium,medium,medium,low,high,high,low,high,high,high,medium,medium,medium,medium,medium,medium,low,low,medium,low,low,medium,medium,low,high,medium,medium,medium,low,low,medium,low,low,low,32
263,Seton Hall NCAA,low,medium,low,medium,medium,medium,medium,medium,low,medium,medium,low,low,medium,high,low,high,low,low,medium,medium,high,medium,low,high,high,medium,low,medium,low,low,medium,medium,high,high,low,medium,high,medium,64
270,South Dakota State NCAA,low,medium,low,high,low,low,medium,low,low,low,high,high,medium,medium,medium,medium,high,high,medium,high,low,low,low,medium,medium,medium,high,medium,high,low,medium,low,low,medium,high,medium,medium,low,high,64
274,Southern NCAA,medium,low,high,low,low,low,low,high,low,low,medium,high,low,medium,medium,low,medium,low,low,low,low,high,low,low,low,low,low,medium,high,high,medium,high,medium,low,low,medium,medium,high,medium,68
275,Southern California NCAA,low,low,high,low,medium,medium,low,high,high,medium,low,high,high,high,high,medium,low,low,medium,low,medium,low,high,medium,medium,medium,low,high,low,medium,medium,medium,medium,medium,high,medium,low,high,low,64
285,Stephen F. Austin NCAA,low,high,low,high,medium,low,high,low,medium,low,high,low,high,low,medium,high,low,high,high,medium,high,high,medium,high,medium,high,medium,low,high,low,medium,medium,high,low,low,high,high,high,high,32
287,Stony Brook NCAA,low,medium,low,high,low,low,high,low,medium,low,high,low,low,low,low,high,low,low,medium,high,high,medium,high,medium,medium,high,low,low,low,medium,low,low,low,medium,low,low,medium,low,low,64
288,Syracuse NCAA,high,medium,high,low,medium,high,low,high,low,high,low,high,medium,medium,low,low,low,high,low,low,medium,high,high,low,medium,high,low,medium,low,high,low,high,high,high,high,medium,medium,high,low,4
290,Temple NCAA,low,low,medium,low,low,medium,high,low,low,medium,high,low,low,low,low,low,low,high,low,low,medium,low,low,low,low,low,low,high,low,low,medium,high,medium,low,high,low,low,medium,medium,64
295,Texas NCAA,low,low,high,low,medium,high,low,high,medium,medium,low,low,low,low,low,low,medium,medium,low,low,low,low,high,low,low,medium,medium,high,high,low,medium,high,low,low,medium,medium,medium,high,high,64
296,Texas A&M NCAA,high,high,low,high,high,medium,medium,medium,high,low,low,low,high,high,medium,medium,medium,high,low,medium,high,high,medium,medium,medium,high,medium,low,medium,high,medium,medium,high,low,high,medium,high,medium,medium,16
300,Texas Tech NCAA,low,low,high,low,medium,high,low,high,medium,medium,low,high,low,low,low,low,high,low,medium,low,medium,medium,high,low,high,medium,high,high,medium,high,high,high,low,high,medium,high,medium,high,medium,64
307,Tulsa NCAA,low,low,medium,low,medium,medium,medium,medium,low,medium,medium,low,low,low,medium,low,high,medium,low,low,medium,medium,low,low,low,low,medium,high,medium,high,high,high,medium,low,high,medium,high,high,high,68
315,UNC Asheville NCAA,low,low,medium,low,low,low,medium,medium,low,medium,medium,high,low,medium,high,low,high,low,low,medium,low,high,low,low,high,medium,high,low,medium,medium,medium,medium,low,high,low,medium,high,medium,medium,64
317,UNC Wilmington NCAA,low,medium,low,high,low,low,high,low,low,medium,high,low,medium,medium,high,medium,medium,medium,medium,low,low,high,medium,medium,low,medium,medium,medium,high,low,high,high,low,low,medium,low,high,high,high,64
319,Utah NCAA,high,high,low,medium,medium,high,medium,medium,high,low,low,low,high,high,low,high,medium,high,high,high,high,low,medium,high,high,low,high,high,low,low,medium,low,low,high,high,medium,low,low,low,32
325,Vanderbilt NCAA,low,low,high,low,high,high,low,high,medium,medium,low,high,low,low,medium,medium,high,high,medium,low,high,low,high,high,medium,low,high,low,medium,low,low,high,low,medium,medium,low,low,medium,medium,68
327,Villanova NCAA,high,high,low,high,high,high,high,low,medium,low,high,low,high,high,low,high,low,high,high,medium,high,high,low,high,medium,low,medium,low,low,high,low,medium,high,high,low,low,high,medium,low,1
328,Virginia NCAA,high,high,low,high,high,high,medium,medium,medium,low,low,medium,medium,low,low,high,low,low,high,high,high,medium,medium,high,low,low,low,medium,medium,high,medium,low,low,high,low,medium,medium,low,medium,8
329,Virginia Commonwealth NCAA,high,medium,medium,medium,medium,medium,high,low,medium,medium,medium,low,high,medium,high,medium,low,medium,low,medium,medium,high,medium,low,low,high,low,low,high,low,high,medium,high,medium,high,high,high,medium,medium,32
336,Weber State NCAA,medium,medium,low,medium,low,low,high,low,low,low,medium,high,medium,medium,medium,medium,high,high,high,medium,medium,low,low,high,high,low,high,low,low,low,low,medium,low,medium,low,low,low,low,low,64
337,West Virginia NCAA,medium,medium,low,medium,high,high,medium,medium,low,medium,medium,low,high,medium,high,medium,high,low,low,high,medium,high,low,low,high,high,high,low,high,high,high,low,medium,high,medium,medium,high,low,high,64
342,Wichita State NCAA,medium,medium,low,medium,high,medium,high,low,medium,low,high,low,low,low,low,medium,medium,high,low,medium,medium,high,high,low,low,medium,medium,low,high,high,low,low,medium,low,medium,low,high,low,high,32
345,Wisconsin NCAA,medium,low,high,low,medium,high,medium,medium,low,high,medium,low,low,low,low,low,medium,medium,low,medium,low,medium,low,low,medium,medium,medium,medium,medium,low,medium,medium,low,medium,high,medium,medium,medium,medium,16
349,Xavier NCAA,low,high,low,high,high,medium,high,low,medium,low,high,low,high,medium,high,medium,high,medium,medium,high,high,medium,low,medium,medium,high,high,medium,medium,high,medium,low,high,medium,medium,medium,medium,low,medium,32
350,Yale NCAA,low,medium,low,high,low,low,medium,low,low,low,high,medium,low,low,low,medium,high,low,medium,high,high,low,high,medium,high,high,high,low,medium,medium,low,low,medium,high,high,low,medium,low,medium,32
