Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
161,Maryland-Baltimore County NCAA,high,medium,medium,medium,low,low,medium,low,medium,medium,high,medium,medium,medium,medium,low,low,high,low,low,high,high,low,medium,high,low,low,medium,medium,high,high,high,medium,high,medium,high,high,medium,low,32
168,Miami (FL) NCAA,low,low,medium,medium,medium,medium,low,medium,low,medium,medium,low,low,low,low,low,low,medium,low,low,low,high,medium,medium,medium,medium,low,medium,low,low,medium,high,high,medium,medium,medium,medium,medium,low,64
170,Michigan NCAA,high,high,low,high,high,high,medium,medium,medium,low,medium,low,high,high,low,medium,low,high,medium,low,medium,high,low,high,low,low,low,low,medium,low,low,high,low,low,high,low,high,low,medium,2
171,Michigan State NCAA,medium,high,low,high,high,medium,high,low,high,low,medium,low,high,low,low,high,medium,medium,high,high,high,low,high,high,high,high,high,low,medium,low,low,low,high,high,low,low,low,medium,medium,32
178,Missouri NCAA,low,low,high,low,medium,high,low,high,low,medium,low,medium,low,low,low,low,high,high,high,high,high,low,medium,medium,high,medium,high,medium,medium,low,low,low,low,high,high,low,low,medium,medium,64
181,Montana NCAA,low,medium,low,medium,low,low,high,low,medium,low,medium,medium,medium,low,medium,medium,high,low,low,high,low,high,low,low,medium,high,high,low,high,low,high,low,low,low,medium,medium,high,low,high,64
186,Murray State NCAA,low,medium,low,high,low,low,high,low,medium,medium,high,low,low,low,low,high,high,medium,high,high,medium,high,low,high,medium,high,high,low,medium,low,low,low,low,medium,high,low,medium,medium,medium,64
188,NC State NCAA,low,low,medium,low,medium,medium,low,medium,high,medium,low,low,medium,medium,high,high,medium,low,medium,low,medium,high,low,medium,low,high,medium,high,high,low,high,high,medium,high,high,high,high,high,high,64
190,Nevada NCAA,high,high,low,high,medium,medium,high,low,medium,low,high,low,high,high,medium,high,medium,high,high,low,high,medium,medium,high,low,low,high,high,medium,medium,medium,high,medium,low,low,medium,medium,medium,medium,16
194,New Mexico State NCAA,low,high,low,high,low,low,medium,low,medium,low,medium,low,low,low,medium,low,low,medium,low,high,low,low,low,low,medium,high,low,low,medium,medium,low,low,low,low,low,low,high,low,medium,64
200,North Carolina NCAA,high,medium,medium,medium,high,high,low,medium,low,medium,medium,low,high,high,high,high,low,low,low,high,high,low,medium,low,low,high,low,high,low,high,medium,low,high,high,high,high,low,low,low,32
202,North Carolina Central NCAA,medium,low,high,low,low,low,low,medium,low,medium,low,high,low,medium,medium,low,low,low,low,high,high,low,medium,low,high,high,low,medium,high,medium,medium,low,high,low,low,medium,low,medium,medium,68
218,Ohio State NCAA,low,medium,medium,medium,high,medium,high,low,high,medium,medium,low,low,low,low,medium,low,low,medium,high,medium,medium,medium,high,medium,medium,low,medium,low,high,medium,low,medium,low,low,medium,medium,low,low,32
219,Oklahoma NCAA,low,low,high,low,medium,high,low,high,low,medium,low,high,medium,high,high,medium,medium,high,medium,low,low,low,medium,medium,medium,low,medium,high,low,medium,high,high,medium,high,high,high,low,high,low,64
228,Pennsylvania NCAA,low,medium,medium,medium,low,low,medium,low,low,medium,high,low,low,low,medium,low,medium,high,low,medium,high,low,low,medium,medium,low,low,low,medium,low,low,medium,low,low,medium,low,low,low,medium,64
236,Providence NCAA,medium,low,high,low,medium,high,low,high,low,high,low,medium,low,high,medium,low,high,low,low,low,medium,high,medium,low,medium,medium,high,high,medium,medium,high,high,low,high,medium,high,medium,medium,medium,64
237,Purdue NCAA,high,high,low,high,high,medium,high,low,high,low,medium,low,high,medium,low,high,medium,high,high,medium,high,low,high,high,low,low,medium,low,low,low,low,medium,low,low,low,low,low,medium,low,16
240,Radford NCAA,high,medium,high,low,low,low,medium,medium,low,medium,medium,high,low,low,low,low,low,medium,low,medium,low,high,low,low,high,high,low,medium,medium,high,high,medium,medium,medium,high,high,high,medium,medium,64
241,Rhode Island NCAA,low,medium,low,medium,medium,medium,high,low,medium,low,medium,low,low,low,medium,medium,low,low,low,low,medium,high,medium,low,low,medium,low,medium,high,low,high,high,medium,medium,low,high,high,medium,high,32
257,San Diego State NCAA,low,low,medium,medium,medium,medium,low,medium,low,medium,low,medium,low,low,medium,medium,medium,medium,low,high,medium,medium,medium,low,medium,medium,medium,low,low,high,medium,low,high,high,medium,medium,medium,low,medium,64
263,Seton Hall NCAA,low,low,medium,low,medium,high,low,high,medium,medium,low,medium,medium,medium,high,medium,medium,low,medium,high,medium,medium,low,medium,medium,high,medium,high,medium,medium,high,low,medium,medium,low,high,low,medium,medium,32
270,South Dakota State NCAA,medium,high,low,high,low,low,medium,low,medium,low,medium,low,high,high,high,high,medium,high,high,medium,low,low,low,high,low,low,high,medium,low,high,medium,medium,low,low,low,medium,low,low,low,64
281,St. Bonaventure NCAA,low,medium,low,medium,low,medium,high,low,low,low,high,low,medium,medium,medium,medium,high,low,medium,low,medium,high,medium,low,low,medium,high,medium,high,high,medium,high,high,medium,high,medium,high,high,high,64
285,Stephen F. Austin NCAA,medium,high,low,high,low,low,high,low,high,low,high,low,high,medium,high,medium,high,low,high,medium,low,high,medium,high,high,high,high,low,high,medium,high,low,high,high,medium,medium,high,medium,high,64
288,Syracuse NCAA,high,medium,high,low,medium,high,low,high,medium,high,low,medium,low,medium,low,low,high,low,low,medium,low,high,high,low,high,high,high,low,medium,high,low,low,high,high,medium,low,medium,high,medium,16
289,TCU NCAA,low,low,medium,low,high,high,low,high,medium,medium,low,medium,medium,medium,medium,high,medium,low,high,high,high,medium,medium,high,high,high,medium,high,medium,low,high,low,high,high,high,high,low,low,medium,64
291,Tennessee NCAA,medium,medium,medium,medium,high,high,medium,medium,low,medium,medium,low,low,low,low,medium,medium,low,low,medium,high,medium,high,low,medium,high,high,low,high,medium,low,medium,medium,medium,medium,low,high,high,high,32
295,Texas NCAA,low,low,high,low,medium,high,low,high,low,high,low,medium,low,low,low,low,medium,medium,low,low,low,medium,high,low,medium,medium,low,medium,low,low,low,high,low,medium,low,medium,medium,high,low,64
296,Texas A&M NCAA,medium,low,high,low,medium,high,low,high,low,medium,low,medium,medium,medium,high,low,low,low,low,high,high,low,high,low,high,high,low,medium,low,medium,low,low,high,high,high,low,low,medium,low,16
298,Texas Southern NCAA,high,low,high,low,low,low,medium,medium,low,medium,low,high,high,high,high,low,high,medium,low,low,low,low,low,low,medium,low,high,high,medium,low,high,high,high,low,high,high,low,high,low,64
300,Texas Tech NCAA,high,high,medium,medium,high,high,low,medium,high,low,low,medium,medium,medium,low,low,high,low,low,medium,medium,high,high,low,high,medium,high,low,high,medium,low,low,low,high,high,low,high,medium,high,8
314,UCLA NCAA,low,low,medium,low,medium,medium,low,medium,medium,medium,low,medium,medium,medium,high,medium,medium,high,medium,medium,medium,low,medium,medium,medium,low,medium,high,medium,high,medium,medium,medium,medium,low,medium,low,medium,low,68
316,UNC Greensboro NCAA,medium,high,low,high,low,low,high,low,high,low,medium,medium,low,low,low,low,low,high,low,high,medium,high,high,medium,high,high,low,low,high,high,medium,low,low,high,low,low,high,low,high,64
327,Villanova NCAA,high,high,low,high,high,high,high,low,low,low,high,low,high,high,medium,high,low,high,high,medium,medium,medium,medium,high,low,medium,low,medium,low,low,medium,medium,medium,low,medium,medium,medium,medium,low,1
328,Virginia NCAA,low,high,low,high,high,medium,high,low,high,low,high,low,low,low,low,medium,low,low,low,medium,medium,high,high,medium,low,low,low,low,low,high,low,medium,low,low,low,low,high,low,low,64
331,Virginia Tech NCAA,low,low,medium,low,medium,medium,low,high,medium,high,medium,low,medium,medium,medium,high,high,medium,high,low,high,low,low,high,medium,low,medium,high,low,high,high,high,high,low,high,high,medium,high,low,64
337,West Virginia NCAA,high,medium,medium,medium,high,high,low,medium,medium,medium,low,low,high,high,medium,high,low,medium,low,medium,medium,high,high,low,low,high,medium,low,high,medium,high,medium,high,medium,high,high,high,high,high,16
342,Wichita State NCAA,low,medium,low,medium,high,medium,high,low,low,medium,high,low,medium,medium,medium,high,medium,medium,high,high,high,low,medium,high,low,high,medium,medium,high,high,medium,low,low,high,medium,medium,low,low,high,64
347,Wright State NCAA,medium,medium,medium,medium,low,low,high,low,medium,medium,medium,medium,low,low,medium,low,medium,low,low,medium,medium,medium,low,low,high,medium,medium,low,low,high,medium,medium,medium,medium,low,medium,high,low,low,64
349,Xavier NCAA,medium,high,low,high,high,high,high,low,high,low,high,low,high,high,high,high,high,medium,high,high,high,low,low,high,medium,medium,high,high,low,high,high,low,high,high,high,high,low,low,low,32
